Roll Number,CC Stars
23A91A0502,1 star
23A91A0507,1 star
23A91A0519,1 star
23A91A0523,1 star
23A91A0525,1 star
23A91A0529,1 star
23A91A0534,1 star
23A91A0545,1 star
23A91A0556,1 star
23A91A0560,3 star
23A91A0562,1 star
23A91A0573,1 star
23A91A0576,1 star
23A91A0581,2 star
23A91A0582,2 star
23A91A0594,1 star
23A91A05A0,1 star
23A91A05A7,1 star
23A91A05B6,1 star
23A91A05C4,1 star
23A91A05C5,1 star
23A91A05C7,1 star
23A91A05E1,1 star
23A91A05E5,1 star
23A91A05F3,2 star
23A91A05F7,1 star
23A91A05G8,1 star
23A91A05G9,1 star
23A91A05H8,1 star
23A91A05I0,1 star
23A91A05I3,1 star
23A91A05I4,1 star
23A91A05I6,1 star
23A91A05J1,1 star
23A91A05J2,1 star
23A91A05J9,1 star
23A91A05K1,1 star
23A91A05K2,1 star
23A91A1219,2 star
23A91A1220,1 star
23A91A1231,1 star
23A91A1235,1 star
23A91A1252,1 star
23A91A1258,1 star
23A91A1267,1 star
23A91A12C1,1 star
23A91A12C8,1 star
23A91A4444,1 star
23A91A4456,1 star
23A91A6102,1 star
23A91A6113,1 star
23A91A6119,1 star
23A91A6124,1 star
23A91A6127,1 star
23A91A6131,1 star
23A91A6144,1 star
23A91A6161,1 star
23A91A6166,1 star
23A91A6168,1 star
23A91A6180,1 star
23A91A6181,1 star
23A91A61A0,1 star
23A91A61A4,1 star
23A91A61C5,1 star
23A91A61C6,1 star
23A91A61C7,1 star
23A91A61E9,1 star
23A91A61F0,1 star
23A91A61G9,1 star
23A91A61H4,1 star
23A91A61H5,1 star
23A91A61I6,1 star
23MH1A05E6,1 star
23MH1A05E7,1 star
23MH1A05F2,1 star
23MH1A05F5,1 star
23MH1A05F7,1 star
23MH1A05F9,1 star
23MH1A05G0,1 star
23MH1A05H1,1 star
23MH1A05H4,1 star
23MH1A05H8,1 star
23MH1A05H9,2 star
23MH1A05I2,1 star
23MH1A05J2,1 star
23MH1A05J3,1 star
23MH1A05J5,1 star
23MH1A05K1,1 star
23MH1A05K7,1 star
23MH1A05L1,1 star
23MH1A05L3,1 star
23MH1A05L4,1 star
23MH1A05M0,1 star
23MH1A05M1,1 star
23MH1A05M4,1 star
23MH1A05N0,1 star
23MH1A05N8,1 star
23MH1A05O0,1 star
23MH1A05O3,1 star
23MH1A1242,1 star
23MH1A4213,1 star
23MH1A4224,1 star
23MH1A4227,1 star
23MH1A4228,1 star
23MH1A4229,1 star
23MH1A4237,1 star
23MH1A4239,1 star
23MH1A4248,1 star
23MH1A4249,1 star
23MH1A4256,1 star
23MH1A4260,1 star
23MH1A4413,1 star
23MH1A4416,1 star
23MH1A4435,1 star
23MH1A4901,1 star
23MH1A4918,1 star
23P31A0502,1 star
23P31A0503,1 star
23P31A0507,1 star
23P31A0509,1 star
23P31A0512,1 star
23P31A0519,1 star
23P31A0524,1 star
23P31A0527,1 star
23P31A0528,1 star
23P31A0530,1 star
23P31A0531,1 star
23P31A0536,1 star
23P31A0543,1 star
23P31A0547,1 star
23P31A0551,1 star
23P31A0552,1 star
23P31A0558,1 star
23P31A0559,1 star
23P31A0565,1 star
23P31A0582,1 star
23P31A0583,1 star
23P31A0588,1 star
23P31A1201,1 star
23P31A1202,1 star
23P31A1205,1 star
23P31A1216,1 star
23P31A1218,1 star
23P31A1220,1 star
23P31A1221,1 star
23P31A1222,1 star
23P31A1227,1 star
23P31A1228,1 star
23P31A1229,1 star
23P31A1232,1 star
23P31A1233,1 star
23P31A4202,1 star
23P31A4203,1 star
23P31A4206,1 star
23P31A4209,1 star
23P31A4210,1 star
23P31A4211,2 star
23P31A4213,1 star
23P31A4214,1 star
23P31A4215,1 star
23P31A4216,1 star
23P31A4217,1 star
23P31A4218,1 star
23P31A4220,1 star
23P31A4221,1 star
23P31A4222,1 star
23P31A4223,1 star
23P31A4224,1 star
23P31A4225,1 star
23P31A4226,1 star
23P31A4227,1 star
23P31A4229,1 star
23P31A4231,1 star
23P31A4233,1 star
23P31A4235,1 star
23P31A4237,1 star
23P31A4238,1 star
23P31A4240,1 star
23P31A4242,1 star
23P31A4243,1 star
23P31A4248,1 star
23P31A4251,1 star
23P31A4252,1 star
23P31A4253,1 star
23P31A4254,1 star
23P31A4257,1 star
23P31A4258,1 star
23P31A4259,1 star
23P31A4261,1 star
23P31A4263,1 star
23P31A4264,1 star
23P31A4265,1 star
23P31A4267,1 star
23P31A4268,1 star
23P31A4271,1 star
23P31A4272,1 star
23P31A4274,1 star
23P31A4410,1 star
23P31A4411,1 star
23P31A4412,1 star
23P31A4416,1 star
23P31A4430,1 star
23P31A4434,1 star
23P31A4444,1 star
